"TOK_added","DATE_added","SHOT_added","TIME_added","α0","αI","αB","αP","αn","αM","αR","αe","αk","ind_added","id"
"AUGW",20130322,29812,3.05,0.105636,0.7727,0.23757,-0.609079,0.382668,0.183902,1.99103,0.711902,0.430375,3594,1234
"AUG",19990319,11799,4.5,0.105666,0.771284,0.238465,-0.608396,0.381729,0.184312,1.99106,0.713228,0.431978,1946,244
"AUG",19990511,12202,4.05,0.105647,0.773183,0.236039,-0.608713,0.383506,0.184157,1.99108,0.710136,0.428214,2074,330
"JET",20010320,54145,65.13134765625,0.105681,0.770612,0.241637,-0.609108,0.381631,0.175341,1.99108,0.718036,0.436942,9201,2149
"AUGW",20130322,29810,2.1,0.105641,0.773399,0.236107,-0.609076,0.383087,0.184182,1.9911,0.710371,0.428328,3585,1225
"AUG",19980227,10010,2.85,0.105636,0.772587,0.237633,-0.609141,0.382221,0.183885,1.99111,0.712254,0.430622,1754,147
"AUGW",20121023,28728,3.3,0.105643,0.772813,0.237047,-0.609038,0.382648,0.184128,1.99111,0.711462,0.42972,3473,1115
"AUGW",20171026,34944,3.45,0.10564,0.772621,0.237345,-0.608876,0.382821,0.183851,1.99112,0.711875,0.42992,3864,1487
"AUG",19990427,12086,3.7,0.105686,0.770962,0.238432,-0.608013,0.38197,0.184374,1.99115,0.713435,0.431486,2035,299
"AUGW",20170713,34610,5.05,0.105649,0.772454,0.237191,-0.608847,0.382518,0.184127,1.99115,0.711633,0.430459,3809,1435
"JET",19980120,44101,71.62,0.10569,0.771581,0.238233,-0.608401,0.383209,0.183843,1.99115,0.713122,0.430644,8425,1586
"AUG",19980227,10009,3.3,0.105635,0.772616,0.237624,-0.609198,0.382248,0.183867,1.99116,0.712261,0.430668,1748,141
"AUGW",20080408,23004,1.85,0.10566,0.771963,0.237272,-0.608422,0.382351,0.184363,1.99117,0.711918,0.430142,3070,756
"AUGW",20121023,28729,3.15,0.105644,0.772735,0.237098,-0.609017,0.382658,0.184141,1.99117,0.711584,0.429775,3478,1120
"JETILW",20160413,90577,56,0.105694,0.771587,0.23794,-0.608739,0.382873,0.184269,1.99117,0.712602,0.431641,10321,3174
"AUGW",20121023,28727,2.8,0.105643,0.772739,0.237107,-0.609026,0.382662,0.184139,1.99118,0.71162,0.429746,3469,1111
"JET",20020521,55942,61.3639831542969,0.105709,0.771102,0.23847,-0.608564,0.382305,0.184553,1.99119,0.713376,0.432198,9249,2192
"AUGW",20081021,23884,2.95,0.105661,0.771948,0.237158,-0.608359,0.382471,0.184358,1.9912,0.711699,0.430141,3097,781
"AUG",19990408,11945,2.35,0.105692,0.770586,0.239601,-0.608474,0.381809,0.184911,1.99121,0.714263,0.434011,1976,268
"AUG",19980227,10008,2.6,0.105666,0.771563,0.237644,-0.608051,0.382613,0.184078,1.99122,0.712557,0.430062,1739,134
"AUGW",20110705,27199,2.25,0.105675,0.771556,0.23729,-0.608019,0.382614,0.184369,1.99127,0.711978,0.430143,3324,987
"JET",19991027,49153,61.3809661865234,0.105697,0.771698,0.23803,-0.608934,0.382555,0.184597,1.99127,0.713198,0.431031,8919,1891
"AUGW",20171026,34945,6.9,0.105631,0.772768,0.237511,-0.609328,0.382732,0.183743,1.99131,0.711874,0.431075,3876,1499
"AUG",19990427,12085,2.1,0.105664,0.772331,0.236501,-0.608469,0.382872,0.184433,1.99132,0.710977,0.429455,2032,297
"AUGW",20090618,24658,3.25,0.105659,0.771938,0.237219,-0.608456,0.382479,0.18435,1.99132,0.71183,0.430326,3118,801
"AUG",19990319,11809,3.45,0.105666,0.771082,0.238702,-0.608481,0.381724,0.184283,1.99133,0.713723,0.432473,1965,261
"JETILW",20160412,90549,52.5,0.105693,0.770888,0.239168,-0.608401,0.382678,0.183864,1.99135,0.714358,0.432243,10314,3167
"AUGW",20080318,22832,2.75,0.105662,0.7719,0.237263,-0.608463,0.382516,0.184373,1.99136,0.711924,0.430367,3065,751
"JET",20001025,52298,65.3797607421875,0.105698,0.77194,0.237261,-0.608661,0.383265,0.184332,1.99136,0.711929,0.43047,9074,2023
"JETILW",20151118,89093,46.5,0.105716,0.77099,0.238303,-0.608122,0.382866,0.184213,1.99136,0.713297,0.43137,10176,3029
"AUGW",20080411,23041,1.85,0.105662,0.771801,0.237419,-0.608438,0.382422,0.184364,1.99137,0.712229,0.430386,3075,761
"AUG",19990408,11947,2.35,0.105691,0.77056,0.239531,-0.608497,0.381947,0.184884,1.99141,0.71434,0.433914,1977,269
"JETILW",20160413,90575,56,0.105704,0.771323,0.237959,-0.60849,0.382941,0.184326,1.99141,0.712864,0.431417,10319,3172
"AUG",19990429,12097,2.2,0.105693,0.77067,0.239284,-0.608469,0.382128,0.184939,1.99143,0.714062,0.433527,2040,304
"AUG",19990422,12035,2.05,0.10569,0.770535,0.239502,-0.608467,0.381989,0.184873,1.99144,0.714321,0.43389,2014,287
